gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000013973	135.3667	0.05341213	0.11694366	0.3169793	0.7541447
ENSMUSG00000013974	2.059201	0.004334097	0.15267938	0.7486602	0.9389756
ENSMUSG00000013997	205.1246	0.02943447	0.10781954	0.6172131	0.8985368
ENSMUSG00000014030	0.5065132	0.001911625	0.18072498	0.8692036	NA
ENSMUSG00000014039	183.9988	0.004718003	0.10753037	0.9359295	0.9839459
ENSMUSG00000014074	313.9568	0.1123497	0.0997156	0.08102082	0.50563
ENSMUSG00000014075	57.55756	0.05281211	0.11594512	0.3298968	0.7607581
ENSMUSG00000014077	584.4906	0.0427982	0.09704485	0.4957139	0.8478292
ENSMUSG00000014158	6.596461	0.0005856173	0.13370121	0.9790726	0.995443
ENSMUSG00000014164	169.3768	-0.0190299	0.12012937	0.6882961	0.9227679
ENSMUSG00000014177	152.5348	0.004999127	0.11155105	0.9288556	0.9830033
ENSMUSG00000014195	661.4721	0.02965354	0.10099234	0.6311313	0.902451
ENSMUSG00000014198	2.445584	0.002493365	0.14081538	0.8774761	0.9722153
ENSMUSG00000014226	350.611	-0.05913381	0.11533771	0.2840561	0.7313271
ENSMUSG00000014232	171.5364	0.01477437	0.10086283	0.8105307	0.9579539
ENSMUSG00000014243	33.39666	-0.002617503	0.12419476	0.9487187	0.9879286
ENSMUSG00000014245	30.11064	0.02669742	0.12709966	0.4764616	0.8385055
ENSMUSG00000014294	242.0561	0.06953571	0.11663908	0.2069309	0.6636911
ENSMUSG00000014301	88.51115	0.06494497	0.11667157	0.2345684	0.6878814
ENSMUSG00000014303	37.95181	-0.03216139	0.12622517	0.418134	0.8074475
ENSMUSG00000014313	835.2059	-0.04632993	0.10058169	0.456276	0.830072
ENSMUSG00000014329	49.81411	-0.03900054	0.11898127	0.4366557	0.8181876
ENSMUSG00000014349	449.0271	-0.06298518	0.08334536	0.3127813	0.7516953
ENSMUSG00000014353	403.101	-0.003730293	0.08868395	0.9526896	0.9890723
ENSMUSG00000014355	1330.168	-0.0134089	0.06062727	0.7993417	0.9543732
ENSMUSG00000014361	263.435	0.0234602	0.10532552	0.6959895	0.9247747
ENSMUSG00000014402	266.6567	-0.006333272	0.08824691	0.919728	0.9813287
ENSMUSG00000014418	149.6098	0.07279175	0.11269868	0.210157	0.6658506
ENSMUSG00000014426	446.4245	0.1212859	0.08736622	0.05752609	0.4585135
ENSMUSG00000014444	29.04714	-0.0531469	0.13554824	0.129445	0.5830686
ENSMUSG00000014470	195.3917	0.0489355	0.10726658	0.4132077	0.8043688
ENSMUSG00000014496	657.152	-0.1197558	0.07731708	0.04958472	0.4412587
ENSMUSG00000014498	292.3064	-0.0489565	0.12222929	0.3021297	0.7432925
ENSMUSG00000014503	3.45178	0.03559267	0.2101227	0.08754377	0.522133
ENSMUSG00000014504	102.7949	-0.09686024	0.12670498	0.06080603	0.4648392
ENSMUSG00000014547	65.26654	0.03567196	0.123642	0.4172693	0.8069602
ENSMUSG00000014550	463.9777	0.1622957	0.09037536	0.01274119	0.257704
ENSMUSG00000014551	298.2721	-0.1120953	0.14480816	0.01988527	0.3118156
ENSMUSG00000014554	104.0965	0.07420406	0.11416397	0.1951129	0.6536408
ENSMUSG00000014592	1276.625	-0.003891151	0.10500144	0.948289	0.9877033
ENSMUSG00000014599	119.2305	0.01990707	0.11284802	0.7182726	0.9312017
ENSMUSG00000014601	193.3527	0.06086073	0.11058581	0.2987972	0.7412877
ENSMUSG00000014602	7513.189	-0.001112002	0.07872233	0.9854625	0.9974738
ENSMUSG00000014603	1.372056	0.01262674	0.16034559	0.4005553	NA
ENSMUSG00000014606	545.6905	0.05904018	0.09220677	0.3516878	0.774535
ENSMUSG00000014609	0.04285809	0	0.21433685	1	NA
ENSMUSG00000014633	37.05283	-0.008702699	0.12308591	0.8384713	0.9640237
ENSMUSG00000014668	219.7516	-0.06764156	0.10104078	0.2802655	0.7286274
ENSMUSG00000014725	0.4631875	-0.000162367	0.18068597	0.9887745	NA
ENSMUSG00000014747	0.2199919	-0.007058521	0.23003267	0.5278736	NA
ENSMUSG00000014748	198.5511	-0.07858781	0.10219721	0.2104267	0.6664775
ENSMUSG00000014763	665.02	0.08845903	0.08427407	0.1590675	0.6158836
ENSMUSG00000014767	260.859	-0.1069675	0.1026656	0.09364444	0.5330688
ENSMUSG00000014769	551.1384	-0.06154004	0.09904524	0.3277372	0.7605488
ENSMUSG00000014771	61.58517	0.06968697	0.12597837	0.1373545	0.5893579
ENSMUSG00000014773	81.19743	0.04506548	0.10922233	0.4418983	0.8221792
ENSMUSG00000014776	87.30352	0.03150492	0.11411789	0.563222	0.8771599
ENSMUSG00000014778	11.82012	0.02371923	0.13828417	0.3181761	0.7550756
ENSMUSG00000014782	21.33038	0.02760295	0.126642	0.4719905	0.8366296
ENSMUSG00000014786	212.0442	0.01449902	0.10272417	0.8121386	0.9584419
ENSMUSG00000014791	15.12332	-0.01712719	0.13006558	0.5780768	0.8840041
ENSMUSG00000014813	25.5256	0.008437872	0.12351882	0.8406849	0.9644247
ENSMUSG00000014837	46.92994	0.02533654	0.12398032	0.5495863	0.8728463
ENSMUSG00000014846	167.9121	0.1780528	0.14451975	0.004006147	0.1599513
ENSMUSG00000014850	368.004	-0.1250617	0.09270425	0.05325039	0.4498832
ENSMUSG00000014852	0.3624668	-0.0009145475	0.21314866	0.9317848	NA
ENSMUSG00000014856	91.13835	0.04449842	0.12062682	0.3616841	0.78102
ENSMUSG00000014859	70.36978	0.03138265	0.11444752	0.5626235	0.876745
ENSMUSG00000014867	383.7501	0.1296604	0.08363157	0.03988327	0.4133781
ENSMUSG00000014873	149.0843	-0.03844638	0.12102153	0.420316	0.8090461
ENSMUSG00000014905	205.4882	-0.07253015	0.10736155	0.2329747	0.6860324
ENSMUSG00000014907	84.18664	-0.0348339	0.12225386	0.4466457	0.8256098
ENSMUSG00000014932	209.3897	-0.05261863	0.11052781	0.3656685	0.7829593
ENSMUSG00000014956	2469.994	-0.2073525	0.10657492	0.002417486	0.1288927
ENSMUSG00000014959	427.9157	0.0988378	0.08858614	0.1208908	0.572577
ENSMUSG00000014980	116.1533	-0.04596924	0.11447082	0.403002	0.8007678
ENSMUSG00000015001	0.07853339	0	0.21433685	1	NA
ENSMUSG00000015002	388.4613	-0.07123163	0.12656773	0.1270865	0.579635
ENSMUSG00000015013	178.6891	-0.02891318	0.10551975	0.6301945	0.902108
ENSMUSG00000015016	100.2299	0.005946235	0.11519436	0.9103112	0.9792974
ENSMUSG00000015023	102.453	0.06167724	0.12037271	0.2266197	0.6803876
ENSMUSG00000015027	37.91592	0.07899749	0.12479892	0.1116651	0.5597139
ENSMUSG00000015053	10.90651	-0.007230378	0.12944108	0.81365	0.9585805
ENSMUSG00000015083	2.952961	0.01455487	0.15512989	0.3685715	0.7842494
ENSMUSG00000015085	46.11707	-0.01261905	0.12484556	0.7518324	0.9407499
ENSMUSG00000015087	751.385	0.01573336	0.08902483	0.8025452	0.9555313
ENSMUSG00000015090	803.6783	0.1251406	0.1807652	0.008039508	0.2184487
ENSMUSG00000015092	298.9888	0.026301	0.10509961	0.6621564	0.9133889
ENSMUSG00000015093	0.5763358	0.0040944	0.17439026	0.7339173	NA
ENSMUSG00000015094	385.83	0.01185458	0.11314401	0.8286158	0.9619876
ENSMUSG00000015095	364.0966	0.1055799	0.11055821	0.08636213	0.5201107
ENSMUSG00000015112	39.22111	-0.06382364	0.12208423	0.1984457	0.6566045
ENSMUSG00000015120	740.6235	0.08995285	0.08908495	0.1576122	0.6154835
ENSMUSG00000015126	86.57863	0.1095431	0.12022912	0.05648417	0.4575547
ENSMUSG00000015127	313.8192	0.09147441	0.09729191	0.1523281	0.606268
ENSMUSG00000015133	24.63438	0.02943171	0.12986943	0.3823059	0.7929558
ENSMUSG00000015134	1.396349	-0.006426034	0.14759208	0.6643353	NA
ENSMUSG00000015143	545.779	-0.02719107	0.11365781	0.6192755	0.8991867
ENSMUSG00000015149	456.3987	0.02532094	0.1006053	0.682058	0.9198923
ENSMUSG00000015165	1337.425	-0.01729243	0.0799997	0.7782264	0.9490303
ENSMUSG00000015176	264.3411	0.126959	0.09988733	0.05050458	0.4422671
ENSMUSG00000015189	690.6079	-0.05385866	0.08977801	0.3943997	0.7974547
ENSMUSG00000015202	31.2222	-0.008278126	0.12142663	0.854792	0.9678315
ENSMUSG00000015214	367.4171	-0.1270326	0.10053247	0.05024695	0.4419905
ENSMUSG00000015217	186.3571	0.2083626	0.12455563	0.002165213	0.1226792
ENSMUSG00000015222	12767.08	-0.004444727	0.09196305	0.9437136	0.98618
ENSMUSG00000015224	180.3526	-0.00226225	0.1138905	0.9665872	0.9921149
ENSMUSG00000015243	874.2108	0.009656494	0.09678229	0.8772756	0.9722153
ENSMUSG00000015247	49.67308	0.08997287	0.11961681	0.1033244	0.5509506
ENSMUSG00000015289	44.48566	0.01212755	0.11958994	0.8000295	0.9544383
ENSMUSG00000015290	226.8165	-0.06974024	0.10077984	0.2665446	0.7183576
ENSMUSG00000015291	2105.571	0.09505558	0.09381235	0.1379907	0.5897563
ENSMUSG00000015305	572.8846	0.1417368	0.10881806	0.02811749	0.3599838
ENSMUSG00000015312	43.87008	-0.03617896	0.12059156	0.4512431	0.8276359
ENSMUSG00000015314	1.860523	0.006984278	0.14778482	0.6395201	NA
ENSMUSG00000015316	0.8566988	-0.007700318	0.16761672	0.5558023	NA
ENSMUSG00000015335	23.0492	-0.04314038	0.12633235	0.2977143	0.7408816
ENSMUSG00000015337	57.09225	0.2505066	0.24312163	0.0005245661	0.05551108
ENSMUSG00000015340	7.702415	-0.01344532	0.13634317	0.5341678	0.8657455
ENSMUSG00000015341	453.9838	0.03741179	0.0890575	0.5528667	0.8737878
ENSMUSG00000015342	164.2845	0.0183756	0.11313235	0.737856	0.937107
ENSMUSG00000015354	38.41256	0.02291309	0.12784673	0.5204742	0.8579613
ENSMUSG00000015355	5.049416	-0.01929665	0.14673409	0.3154886	0.7530966
ENSMUSG00000015357	249.4718	-0.01907898	0.10130276	0.7565074	0.9421405
ENSMUSG00000015363	114.8436	0.0661721	0.10909212	0.2675294	0.7184949
ENSMUSG00000015365	0.174108	0	0.21433685	1	NA
ENSMUSG00000015377	368.063	-0.01666813	0.09857478	0.7888169	0.9511877
ENSMUSG00000015396	70.8998	0.04804033	0.12826832	0.2299522	0.683216
ENSMUSG00000015401	0.9820785	-0.004993069	0.16543689	0.691461	NA
ENSMUSG00000015405	6.683956	0.01534203	0.13582639	0.4981582	0.8485204
ENSMUSG00000015451	15.80268	-0.004692848	0.13041453	0.8692146	0.9699071
ENSMUSG00000015452	2.701415	0.0190768	0.14696238	0.3177698	0.7549411
ENSMUSG00000015461	142.2922	0.02987165	0.10852508	0.6095987	0.8966001
ENSMUSG00000015467	10.28047	-0.03238773	0.13825346	0.2265129	0.6803876
ENSMUSG00000015468	25.52579	-0.003035647	0.12451265	0.9397249	0.9851868
ENSMUSG00000015474	99.44023	-0.003402415	0.11946169	0.9433494	0.9861568
ENSMUSG00000015476	137.2699	-0.06337979	0.13267129	0.1121614	0.5601719
ENSMUSG00000015478	97.63015	0.02682093	0.11165058	0.6339238	0.9032667
ENSMUSG00000015484	41.72106	-0.01926449	0.12100703	0.677123	0.918676
ENSMUSG00000015488	140.299	-0.02725697	0.11461277	0.6129559	0.8975783
ENSMUSG00000015501	2158.381	-0.2051337	0.10046617	0.002482298	0.1295155
ENSMUSG00000015522	233.9891	-0.04884537	0.11953576	0.332716	0.7622288
ENSMUSG00000015533	0.6598785	0.006712204	0.17591068	0.590984	NA
ENSMUSG00000015536	238.6073	-0.0242944	0.10721519	0.6810614	0.9198756
ENSMUSG00000015542	54.0175	0.05595281	0.12130626	0.2569548	0.7107896
ENSMUSG00000015568	257.0819	-0.1461267	0.14877739	0.00813747	0.2190061
ENSMUSG00000015575	116.2928	-0.02408592	0.10967436	0.6760106	0.9183222
ENSMUSG00000015597	545.6487	-0.04788618	0.09147917	0.4489294	0.8269071
ENSMUSG00000015599	382.1118	-0.05282329	0.11544893	0.3335302	0.7624688
ENSMUSG00000015605	289.2968	0.1501326	0.10449948	0.02211914	0.3243677
ENSMUSG00000015647	97.01676	0.03468361	0.12238258	0.4467466	0.8256098
ENSMUSG00000015652	0.5772718	-0.01419561	0.22276755	0.2983331	NA
ENSMUSG00000015653	94.96626	0.007805616	0.12131812	0.8634364	0.9696773
ENSMUSG00000015656	9731.862	0.07065181	0.09865384	0.2634605	0.7173288
ENSMUSG00000015659	143.4523	-0.0545587	0.10803771	0.3603674	0.7802583
ENSMUSG00000015668	130.0889	-0.03554905	0.1136419	0.5187221	0.8573712
ENSMUSG00000015671	398.7037	0.001884238	0.11209887	0.9729384	0.994259
ENSMUSG00000015672	53.67826	-0.02702851	0.11920989	0.58144	0.8850973
ENSMUSG00000015697	443.8488	-0.08718119	0.0856607	0.1669949	0.6243847
ENSMUSG00000015702	4.523449	-0.01150136	0.14192774	0.5201102	0.8579613
ENSMUSG00000015709	1663.614	-0.06289042	0.09688151	0.3198784	0.7567905
ENSMUSG00000015711	141.1254	-0.01700382	0.11072236	0.7645062	0.9443585
ENSMUSG00000015714	411.3945	0.1592256	0.10682718	0.01565643	0.2784826
ENSMUSG00000015721	0.04352699	0	0.21433685	1	NA
ENSMUSG00000015733	1234.366	-0.02128252	0.08918014	0.7352992	0.9365848
ENSMUSG00000015745	53.29442	-0.01269104	0.1181671	0.7983034	0.9541456
ENSMUSG00000015747	228.1996	-0.05463781	0.10487234	0.3708574	0.7852906
ENSMUSG00000015748	125.0488	0.01177622	0.1122169	0.8320613	0.9631191
ENSMUSG00000015749	343.8304	0.01476077	0.09901068	0.8121725	0.9584419
ENSMUSG00000015750	235.522	0.1104515	0.11072181	0.07419069	0.4958837
ENSMUSG00000015755	469.3201	-0.01418307	0.09428073	0.8214877	0.9601586
ENSMUSG00000015757	374.1089	-0.01589929	0.10596966	0.78972	0.9517878
ENSMUSG00000015759	282.4127	-0.09054529	0.10003045	0.1544437	0.6096987
ENSMUSG00000015766	189.3791	0.1260985	0.10940684	0.0466432	0.4369409
ENSMUSG00000015776	207.6984	0.04846939	0.10342254	0.4298219	0.8134892
ENSMUSG00000015790	245.0119	0.03113688	0.10205388	0.6124111	0.8975783
ENSMUSG00000015804	317.1322	-0.001288569	0.09715747	0.9835381	0.9966454
ENSMUSG00000015806	913.0216	-0.01447771	0.09678998	0.8169696	0.9595402
ENSMUSG00000015812	0.6653934	0.006158952	0.16602087	0.6300698	NA
ENSMUSG00000015829	1313.839	-0.0506918	0.11089573	0.3807952	0.7919538
ENSMUSG00000015837	2101.254	0.1320703	0.0976324	0.04263161	0.4233216
ENSMUSG00000015839	83.79183	-0.1033344	0.11877537	0.07198905	0.4919511
ENSMUSG00000015843	310.3303	0.006691941	0.12102769	0.8837766	0.9736941
ENSMUSG00000015846	239.4173	0.08937426	0.10474068	0.1530056	0.6071376
ENSMUSG00000015850	35.39113	0.01784872	0.12887211	0.5892412	0.8889396
ENSMUSG00000015852	139.3933	0.05109748	0.10457117	0.4026349	0.8007298
ENSMUSG00000015854	0.05631087	0	0.21433685	1	NA
ENSMUSG00000015869	170.4471	0.1041326	0.11578856	0.07816879	0.5026416
ENSMUSG00000015879	317.5059	-0.110641	0.11192616	0.07168107	0.4917324
ENSMUSG00000015880	3.947335	-0.007678007	0.1428335	0.6396923	0.9056484
ENSMUSG00000015882	445.1252	-0.02908113	0.10624726	0.6262319	0.9008299
ENSMUSG00000015889	243.3482	0.007576434	0.09902556	0.9028613	0.9776916
ENSMUSG00000015932	738.3133	-0.01423863	0.09902559	0.8186789	0.9595402
ENSMUSG00000015937	359.9561	0.1454044	0.09373582	0.02595258	0.3493536
ENSMUSG00000015942	79.39384	0.117325	0.13128893	0.02818705	0.3599838
ENSMUSG00000015943	39.56383	-0.01825209	0.12388645	0.6630325	0.9137297
ENSMUSG00000015944	447.9002	-0.03389315	0.1118899	0.5478146	0.8720642
ENSMUSG00000015947	15.59527	-0.01045245	0.13062327	0.7155883	0.9302329
ENSMUSG00000015950	41.29481	0.01447582	0.11910733	0.7656565	0.9447223
ENSMUSG00000015957	1.813185	-0.006860728	0.15107133	0.6316131	NA
ENSMUSG00000015961	541.2074	-0.02270163	0.09197818	0.718671	0.9312017
ENSMUSG00000015962	0.07853339	0	0.21433685	1	NA
ENSMUSG00000015966	11.14947	-0.01105395	0.13229834	0.6687241	0.9155711
ENSMUSG00000015968	414.1659	-0.0253629	0.11745928	0.6186277	0.8989145
ENSMUSG00000015970	49.98976	-0.03713338	0.12832629	0.3228931	0.757782
ENSMUSG00000015971	284.8981	0.02284132	0.10345188	0.7072774	0.9285926
ENSMUSG00000015980	24.0027	0.0341379	0.12946642	0.3340423	0.7629083
ENSMUSG00000015981	531.5764	0.03859786	0.10032165	0.5342182	0.8657455
ENSMUSG00000015994	276.0094	0.02240884	0.10928209	0.6984859	0.9262629
ENSMUSG00000016018	444.9264	-0.02710399	0.0974532	0.6647633	0.9145387
ENSMUSG00000016024	7.027541	-0.01094473	0.13467199	0.6274108	0.9010644
ENSMUSG00000016028	108.9057	-0.03154863	0.1239816	0.463167	0.8324011
ENSMUSG00000016087	29.76341	0.002683717	0.12679298	0.94035	0.9855033
ENSMUSG00000016128	142.8084	0.03415426	0.10853531	0.5601026	0.8755415
ENSMUSG00000016150	1195.502	0.03525945	0.10917282	0.5451145	0.8706318
ENSMUSG00000016179	230.4341	0.1396605	0.12014015	0.02266267	0.3281946
ENSMUSG00000016181	100.8157	0.03670527	0.11312399	0.508856	0.8521355
ENSMUSG00000016194	15.33665	0.02030004	0.12882846	0.5448613	0.8706318
ENSMUSG00000016200	413.1284	-0.1625213	0.11295224	0.0128024	0.257704
ENSMUSG00000016206	9.189072	0.01848415	0.13238766	0.4999685	0.8492082
ENSMUSG00000016239	125.3487	0.01755926	0.11225281	0.7521834	0.9407499
ENSMUSG00000016252	316.2068	0.05837278	0.10474325	0.3404821	0.7655157
ENSMUSG00000016253	169.3532	0.1261045	0.11409185	0.04178697	0.4205021
ENSMUSG00000016255	0.4400211	-0.008070789	0.22352865	0.489905	NA
ENSMUSG00000016256	194.777	0.1309946	0.11864383	0.03117618	0.3772987
ENSMUSG00000016257	171.5481	0.0322548	0.10482084	0.5935565	0.8902058
ENSMUSG00000016262	175.1431	0.006581041	0.11396798	0.9029341	0.9776916
ENSMUSG00000016308	147.8605	-0.06020612	0.11567378	0.2738467	0.7233744
ENSMUSG00000016319	1081.811	-0.02945129	0.10430872	0.6269421	0.9009261
ENSMUSG00000016344	160.2414	-0.03116358	0.1057694	0.6034081	0.8948078
ENSMUSG00000016346	3665.735	-0.04743586	0.09750431	0.4502812	0.8273637
ENSMUSG00000016349	2326.412	-0.03268376	0.09453917	0.6037663	0.8948078
ENSMUSG00000016356	20.65052	-0.01630758	0.12928028	0.6111362	0.8972279
ENSMUSG00000016382	519.8085	-0.1193603	0.11154928	0.05519067	0.4552677
ENSMUSG00000016386	271.2274	-0.1035787	0.12078041	0.06592258	0.4812063
ENSMUSG00000016409	136.995	0.1496457	0.10971678	0.02114944	0.3182741
ENSMUSG00000016427	176.9407	-0.03963721	0.11307802	0.4770009	0.8387372
ENSMUSG00000016458	2.858852	-0.2278364	1.00085949	0.004471636	0.1659524
ENSMUSG00000016477	184.0037	-0.140059	0.10946693	0.02942927	0.3670038
ENSMUSG00000016481	209.4302	-0.007918159	0.10669671	0.8935449	0.9770942
ENSMUSG00000016487	193.9278	-0.0594945	0.12304978	0.2153033	0.6691483
ENSMUSG00000016493	109.0581	-0.1481532	0.24398385	0.003647347	0.1535802
ENSMUSG00000016494	111.6059	0.00900379	0.11184276	0.8718025	0.9707675
ENSMUSG00000016495	89.69674	0.05542409	0.1121334	0.3333226	0.7623886
ENSMUSG00000016496	8.236067	-0.03981295	0.15240045	0.1170069	0.5659768
ENSMUSG00000016503	77.30452	0.03620824	0.11657009	0.4901466	0.8450748
ENSMUSG00000016510	74.55306	0.01570095	0.12176844	0.7271677	0.9337414
ENSMUSG00000016520	35.84626	0.02195095	0.12342598	0.6088632	0.896175
ENSMUSG00000016524	0.02828562	-0.002130945	0.21590585	0.8417778	NA
ENSMUSG00000016526	27.59363	0.04295117	0.12749589	0.2814187	0.7296085
ENSMUSG00000016528	114.8502	0.04882277	0.11029733	0.4009122	0.7999668
ENSMUSG00000016534	547.8029	-0.1484966	0.09896395	0.0238464	0.3352444
ENSMUSG00000016541	1107.776	-0.06567664	0.0860023	0.2966253	0.7405977
ENSMUSG00000016552	167.3468	0.005835633	0.11367737	0.9142892	0.9804124
ENSMUSG00000016554	374.5498	0.1130327	0.10453377	0.07618813	0.4997873
ENSMUSG00000016559	1140.323	0.02751394	0.09051446	0.6625099	0.9136846
ENSMUSG00000016619	286.1807	0.06255197	0.09699653	0.322333	0.7576366
ENSMUSG00000016624	30.32987	0.03529255	0.12716243	0.3636683	0.7817497
ENSMUSG00000016637	60.26271	0.05285186	0.11514759	0.3354872	0.7637684
ENSMUSG00000016664	264.7754	0.1352436	0.10811453	0.03536852	0.3938603
ENSMUSG00000016756	1.233383	-0.00127362	0.16006192	0.918516	NA
ENSMUSG00000016757	60.8162	0.08180619	0.11961277	0.1311413	0.583526
ENSMUSG00000016758	0.3628311	-0.007759919	0.23283999	0.4922206	NA
ENSMUSG00000016763	98.6657	-0.08024078	0.34929376	0.01734218	0.2948788
ENSMUSG00000016831	511.578	0.07621555	0.09560429	0.2309786	0.6847274
ENSMUSG00000016833	78.51308	-0.08620012	0.12459524	0.09164724	0.5301343
ENSMUSG00000016918	207.3087	-0.00751731	0.11830892	0.879008	0.9725966
ENSMUSG00000016921	751.0435	0.00235444	0.09364064	0.9701304	0.993318
ENSMUSG00000016933	762.6384	-0.006235419	0.0896906	0.9210725	0.9814351
ENSMUSG00000016940	198.4419	0.05924572	0.09999278	0.3442283	0.7677346
ENSMUSG00000016942	6.523918	0.01557534	0.13555218	0.4976152	0.8485204
ENSMUSG00000016946	140.0896	0.01998882	0.10595115	0.7377004	0.937107
ENSMUSG00000016984	90.84635	-0.1293777	0.13035051	0.02115233	0.3182741
ENSMUSG00000016995	55.38091	-0.002775564	0.11730255	0.9561828	0.9904238
ENSMUSG00000017002	1.418282	0.006698883	0.18050557	0.5873614	NA
ENSMUSG00000017007	3.972775	-0.009859182	0.13925722	0.5956487	0.8912351
ENSMUSG00000017009	336.0811	0.1187723	0.11078624	0.05721806	0.4585135
ENSMUSG00000017057	88.55712	-0.01739059	0.11225674	0.7544578	0.9415278
ENSMUSG00000017119	1529.434	0.05573254	0.07679889	0.3570725	0.7784313
ENSMUSG00000017132	498.5172	0.04721107	0.09523276	0.4543577	0.8299715
ENSMUSG00000017144	118.6106	0.02388029	0.11479705	0.6558452	0.9117632
ENSMUSG00000017146	36.78241	0.05755728	0.12954757	0.1595389	0.6169347
ENSMUSG00000017165	0.991843	-0.004543273	0.16343772	0.7187055	NA
ENSMUSG00000017167	768.5972	-0.04082517	0.11529477	0.4491936	0.8269378
ENSMUSG00000017176	107.1836	0.04178243	0.11208617	0.4603038	0.8309581
ENSMUSG00000017188	212.7604	0.04366832	0.11070441	0.4485927	0.826698
ENSMUSG00000017195	0.4828262	-0.002570775	0.20423894	0.8165266	NA
ENSMUSG00000017204	0.1299121	0	0.21433685	1	NA
ENSMUSG00000017210	611.1114	0.04676211	0.10003996	0.4531119	0.8290859
ENSMUSG00000017221	472.2191	0.1492819	0.09889227	0.02316883	0.3326075
ENSMUSG00000017264	310.7111	0.05487058	0.09610386	0.3848908	0.7943306
ENSMUSG00000017286	309.7823	0.1425877	0.12192414	0.0195302	0.3110444
ENSMUSG00000017288	390.7673	-0.03360072	0.09356191	0.5940882	0.890267
ENSMUSG00000017291	3953.803	-0.1548156	0.08198209	0.01380216	0.2648477
ENSMUSG00000017299	82.28984	0.08991489	0.11434298	0.124466	0.5758443
ENSMUSG00000017307	44.43578	0.07817601	0.12326367	0.123642	0.5747307
ENSMUSG00000017309	0.1859286	0.002017408	0.21472361	0.8505247	NA
ENSMUSG00000017310	0.08485685	0.0003232432	0.21389229	0.9757667	NA
ENSMUSG00000017314	462.5223	-0.02316156	0.09707869	0.7112565	0.9291425
ENSMUSG00000017344	303.1307	0.02640781	0.10257036	0.6661334	0.9145387
ENSMUSG00000017376	445.5551	-0.1673694	0.12390137	0.008526555	0.221153
ENSMUSG00000017386	47.90624	0.07282891	0.12907054	0.1053078	0.5528793
ENSMUSG00000017390	3097.413	0.09254284	0.10366011	0.1416471	0.5930357
ENSMUSG00000017400	71.16712	-0.04080195	0.127617	0.2989299	0.7412877
ENSMUSG00000017404	1601.993	-0.02403083	0.09547517	0.7019856	0.9270536
ENSMUSG00000017405	19.73251	0.01158434	0.1281256	0.7310159	0.9355751
ENSMUSG00000017412	2370.814	-0.2053573	0.11309454	0.002639111	0.1324932
ENSMUSG00000017417	61.92873	-0.03517574	0.12513104	0.4000009	0.7999586
ENSMUSG00000017418	225.3969	0.01053039	0.10039034	0.8645605	0.9696911
ENSMUSG00000017421	910.8612	-0.06118625	0.08161149	0.3235371	0.7583141
ENSMUSG00000017428	256.7678	-0.0498788	0.12170038	0.3004219	0.7422438
ENSMUSG00000017446	5.271613	8.50204e-05	0.1346712	0.9967635	0.999509
ENSMUSG00000017453	19.82223	0.06140413	0.14425864	0.07180641	0.4917836
ENSMUSG00000017466	1287.578	0.08183939	0.10100768	0.1947837	0.6534781
ENSMUSG00000017478	246.6336	0.1379021	0.09815614	0.03481998	0.3917565
ENSMUSG00000017485	1112.32	-0.09560973	0.0935737	0.1357495	0.5866849
ENSMUSG00000017491	809.5408	-0.05073029	0.11656144	0.3430108	0.7675302
ENSMUSG00000017493	313.1196	0.06967709	0.10517436	0.2574203	0.7107896
ENSMUSG00000017499	5.928811	-0.1976304	0.62776917	0.00360715	0.1528623
ENSMUSG00000017548	410.6708	-0.06810551	0.09796478	0.2813	0.7294029
ENSMUSG00000017550	96.26234	0.005419555	0.1149654	0.9185658	0.9811911
ENSMUSG00000017561	99.97977	-0.01980811	0.11595686	0.7049518	0.9283281
ENSMUSG00000017588	0.1126217	0	0.21433685	1	NA
ENSMUSG00000017607	0.2682833	-0.0007641576	0.20054941	0.9448865	NA
ENSMUSG00000017615	233.6179	-0.01374713	0.09037353	0.8271881	0.9619225
ENSMUSG00000017631	2487.896	0.01888157	0.0668111	0.7368529	0.9368226
ENSMUSG00000017639	2038.239	-0.04312312	0.08239506	0.4872223	0.8436142
ENSMUSG00000017652	1.917989	0.004458753	0.14940537	0.7507435	0.9401554
ENSMUSG00000017664	188.5025	0.01004178	0.10175716	0.8699031	0.9699071
ENSMUSG00000017667	405.2901	0.08358608	0.09529211	0.1902262	0.6484664
ENSMUSG00000017670	705.402	-0.1263064	0.08775083	0.04846858	0.4388253
ENSMUSG00000017677	652.8542	-0.01457304	0.0949107	0.8165014	0.9595402
ENSMUSG00000017679	556.5438	-0.1749918	0.09829514	0.008584254	0.2220276
ENSMUSG00000017686	525.0377	-0.1356751	0.09536702	0.03737386	0.4030353
ENSMUSG00000017692	251.6999	0.02222324	0.10028873	0.7194107	0.931547
ENSMUSG00000017697	2.970446	0.05198225	0.31868386	0.04124553	0.4183313
ENSMUSG00000017707	1370.415	-0.06994769	0.08008032	0.2562662	0.7106134
ENSMUSG00000017713	27.86636	-0.04178632	0.12655593	0.3067534	0.7462908
ENSMUSG00000017715	294.9486	0.07801157	0.10675222	0.2033696	0.6597946
ENSMUSG00000017716	2.502945	0.004860723	0.14707598	0.7385506	0.937144
ENSMUSG00000017718	10.42612	0.03863986	0.19342058	0.08171997	0.5060616
ENSMUSG00000017721	212.7277	0.03154139	0.10904724	0.5880543	0.8882704
